date,EE_RSTAK_NAM,EE_RSTAL_NAM,EE_RSTAR_NAM,EE_RSTAZ_NAM,EE_RSTCA_NAM,EE_RSTCO_NAM,EE_RSTCT_NAM,EE_RSTDC_NAM,EE_RSTDE_NAM,EE_RSTFL_NAM,EE_RSTGA_NAM,EE_RSTHI_NAM,EE_RSTIA_NAM,EE_RSTID_NAM,EE_RSTIL_NAM,EE_RSTIN_NAM,EE_RSTKS_NAM,EE_RSTKY_NAM,EE_RSTLA_NAM,EE_RSTMA_NAM,EE_RSTMD_NAM,EE_RSTME_NAM,EE_RSTMI_NAM,EE_RSTMN_NAM,EE_RSTMO_NAM,EE_RSTMS_NAM,EE_RSTMT_NAM,EE_RSTNC_NAM,EE_RSTND_NAM,EE_RSTNE_NAM,EE_RSTNH_NAM,EE_RSTNJ_NAM,EE_RSTNM_NAM,EE_RSTNV_NAM,EE_RSTNY_NAM,EE_RSTOH_NAM,EE_RSTOK_NAM,EE_RSTOR_NAM,EE_RSTPA_NAM,EE_RSTRI_NAM,EE_RSTSC_NAM,EE_RSTSD_NAM,EE_RSTTN_NAM,EE_RSTTX_NAM,EE_RSTUT_NAM,EE_RSTVA_NAM,EE_RSTVT_NAM,EE_RSTWA_NAM,EE_RSTWI_NAM,EE_RSTWV_NAM,EE_RSTWY_NAM
1953,23.31536708,676.464121,310.2768797,204.6323073,3707.366087,394.5643832,830.6716466,503.53437,130.8798784,892.2046147,886.0770978,115.6979841,607.9704396,127.7520364,3305.105397,1318.639876,510.2859089,587.7480403,684.5182371,1779.834445,772.4187387,258.0533547,2287.258269,812.4203131,1244.939008,331.2685961,144.3542513,986.5638121,106.0727347,334.0206702,171.5685577,1774.281806,169.1286337,65.49501136,5768.668926,2954.996612,512.5620767,437.7522254,3728.262877,293.5951761,506.3700636,118.771979,810.8840867,2131.957067,204.9802675,864.5260201,97.65370382,719.6393958,1055.769663,506.2498811,77.41645684
1954,26.38385966,687.8928209,315.2835771,217.7063574,3843.60752,407.3489242,842.779578,501.5611884,134.2430483,943.2414477,906.6297956,124.110814,613.9766262,129.9520728,3332.707959,1332.499548,519.3009596,596.1238569,699.4253313,1787.815069,787.6730989,258.1589152,2290.416665,824.8766186,1258.361114,338.7712949,146.4225111,1008.698669,108.0659266,339.1074055,173.4454183,1801.05087,177.153988,69.41996847,5818.313971,2987.800914,521.8048124,443.02204,3727.861773,291.8072789,515.6799967,120.9735279,824.7394832,2189.126863,210.6699589,880.4657071,98.1956155,727.7382833,1068.500489,499.9466003,78.49696647
1955,29.45235224,699.6091517,320.8138205,231.8352111,3986.06761,420.3394193,854.3300663,499.6895802,137.4582182,997.3282145,927.059201,132.5236439,619.7853622,132.2290394,3359.263197,1344.570391,526.9704373,603.6491045,713.7102637,1795.973816,803.0169232,258.3691111,2293.575061,837.428171,1269.981075,346.6091993,148.259609,1031.450528,109.9690052,343.9189835,175.4583965,1828.177116,185.1431238,73.70504563,5865.177651,3013.798212,530.2730056,448.4807306,3722.372429,289.9763883,524.5291717,123.1618252,838.1697052,2243.949532,216.6263256,897.0937667,98.75824331,736.3710333,1080.877206,493.0046424,79.46171643
1956,32.52084482,711.6682035,327.1327522,246.9525177,4134.141065,433.6444103,865.536506,498.5053986,140.5382044,1053.873129,947.6291851,140.9364738,625.7913306,134.6518541,3385.297711,1355.907581,533.4713822,610.7725211,727.3741304,1804.936317,818.582336,258.727707,2296.733456,850.3899656,1280.53325,354.9172822,149.9020812,1055.274068,111.848802,348.6115653,177.6624034,1855.955789,193.0939634,78.342369,5910.909939,3033.981397,538.0825673,454.4286898,3714.176765,288.2923957,533.3743802,125.3720097,851.6070665,2297.015915,222.9044028,914.7889518,99.39394645,745.684129,1093.356781,485.8978837,80.35560216
1957,35.5893374,724.0339747,334.4373768,262.877574,4286.762918,447.3560452,876.6229912,498.5676013,143.456241,1112.113122,968.7210267,149.3493037,632.3183608,137.2381443,3411.087468,1367.493588,539.1121305,617.8623535,740.3129248,1815.066465,834.5482919,259.2927765,2299.891852,864.0237158,1290.741186,363.8344246,151.3868679,1080.645464,113.7574585,353.3641225,180.1037658,1884.554366,200.9229978,83.38701426,5956.298033,3049.418379,545.4196786,461.151503,3704.964979,286.9624289,542.6421221,127.648602,865.605184,2348.818363,229.5079624,933.8230773,100.1375017,755.8083431,1106.261411,478.8071542,81.20090195
1958,38.65782998,736.8437818,342.943371,279.4021521,4443.731789,461.5860276,888.0942507,500.2130918,146.3071799,1171.501394,991.0577129,157.7621336,639.7153688,140.0080191,3437.983459,1380.713808,544.2753043,625.4731236,752.6378992,1826.942787,851.4299225,260.2111159,2304.987913,878.7422357,1301.466098,373.5603346,152.8018883,1108.417149,115.7476285,358.4115106,182.8391866,1914.466765,208.5097786,88.92763344,6002.50703,3062.528252,552.6846946,469.0764685,3697.011498,286.2836916,552.8371536,130.0444025,880.9756041,2400.414066,236.4527323,954.637069,101.0517463,766.920607,1120.164723,472.006305,82.01633806
1959,41.72632255,750.4736015,352.818038,296.3812481,4606.365671,476.5345007,900.8507835,503.6240978,149.2683109,1232.111013,1015.591021,166.1749635,648.428087,142.9882062,3468.7288,1397.278702,549.4534046,634.4357294,764.8971764,1841.423148,870.1538763,261.6845939,2315.765387,895.1621019,1313.766791,384.2713762,154.2761931,1139.499103,117.8743907,363.9819442,185.9493312,1946.885361,215.7566272,95.06400838,6052.185047,3077.343927,560.393774,478.63737,3693.868101,286.5237632,564.4868097,132.6017256,898.6958209,2453.647027,243.7843608,977.8896216,102.2341425,779.4347689,1135.93673,466.0011156,82.82262374
1960,44.79481512,765.2399726,364.138247,313.6648365,4775.057237,492.2997474,915.549146,508.7407158,152.5248516,1294.246036,1043.113149,174.5711721,658.7480944,146.2063527,3505.539773,1418.109592,555.0661792,645.462338,777.8825004,1858.836986,891.4975027,263.8159681,2335.00114,913.7984688,1328.433406,396.0923097,155.9028141,1174.542132,120.177348,370.1905228,189.467473,1982.588859,222.5767673,101.8266446,6107.17013,3096.987034,568.9672281,490.069226,3698.222453,287.7843863,577.9830537,135.3254416,919.503573,2510.423114,251.4799689,1004.189059,103.7616352,793.6754705,1154.1488,461.2503026,83.62030885
1961,47.86330769,781.560698,376.968687,331.1970796,4950.412505,508.9967058,932.5623869,515.3408015,156.2593368,1358.700407,1074.363389,182.9793883,670.9866887,149.7182241,3550.352369,1443.875012,561.558842,659.1197588,792.4716433,1879.294504,916.1666122,266.6571499,2364.853388,935.0978697,1346.214418,409.1871821,157.777021,1214.125054,122.7163591,377.1205262,193.419392,2022.094113,229.0138563,109.1974076,6168.889476,3124.284762,578.825431,503.5296816,3712.306537,290.0690657,593.650981,138.2054037,944.0666403,2572.952721,259.5178338,1034.15081,105.7038278,810.1000063,1175.19993,458.1675714,84.40071702
1962,50.97285211,799.8391808,391.2696646,349.118491,5133.47892,526.7943163,952.1470633,523.0548035,160.6260527,1426.80961,1110.037897,191.5145296,685.433687,153.6025222,3604.934186,1475.225401,569.2589449,675.8441783,809.5125523,1902.914538,944.6740404,270.2518913,2407.432332,959.5498533,1367.751968,423.724117,159.9850555,1258.703264,125.5455093,384.8223292,197.8611936,2065.814088,235.212784,117.1178963,6238.62558,3162.265429,590.288084,519.1956896,3738.24111,293.3644625,611.7738564,141.2102106,972.8207674,2643.445012,267.9074332,1068.239411,108.1267073,829.1479157,1199.636633,457.1141242,85.20696878
